home_team,away_team,x1,0,1
Qatar,Ecuador,0,0.5089490920531453,0.4910509079468547
Senegal,Netherlands,0,0.5787384841236302,0.42126151587636984
Qatar,Senegal,0,0.5759830183234972,0.4240169816765028
Netherlands,Ecuador,1,0.4443617774807382,0.5556382225192618
Ecuador,Senegal,0,0.5679086161041271,0.43209138389587287
Netherlands,Qatar,1,0.4593919004555949,0.5406080995444051
England,Iran,1,0.43843461179989074,0.5615653882001093
USA,Wales,0,0.5260652204757005,0.4739347795242995
Wales,Iran,0,0.509973519667482,0.49002648033251806
England,USA,1,0.478474619867797,0.5215253801322031
Wales,England,0,0.6196758901933331,0.38032410980666687
Iran,USA,0,0.5766688085455518,0.4233311914544482
Argentina,Saudi Arabia,1,0.3709535067819387,0.6290464932180613
Mexico,Poland,0,0.5244906307895668,0.4755093692104332
Poland,Saudi Arabia,1,0.44112490801856136,0.5588750919814387
Argentina,Mexico,1,0.47902446727608783,0.5209755327239122
Poland,Argentina,0,0.6050231713988821,0.39497682860111794
Saudi Arabia,Mexico,0,0.6317257440625224,0.36827425593747765
Denmark,Tunisia,1,0.4674917134429799,0.5325082865570201
France,Australia,1,0.4176161444960867,0.5823838555039134
Tunisia,Australia,0,0.526520120507324,0.473479879492676
France,Denmark,1,0.4964030253230669,0.5035969746769331
Australia,Denmark,0,0.6087584534443565,0.39124154655564347
Tunisia,France,0,0.6561741537865742,0.3438258462134258
Germany,Japan,1,0.45681883926059086,0.5431811607394091
Spain,Costa Rica,1,0.4402332944645957,0.5597667055354043
Japan,Costa Rica,0,0.5164530792426951,0.4835469207573049
Spain,Germany,0,0.5468279313775163,0.4531720686224837
Japan,Spain,0,0.6217223674317615,0.37827763256823854
Costa Rica,Germany,0,0.6400727281885559,0.3599272718114441
Morocco,Croatia,0,0.5577426226209362,0.4422573773790638
Belgium,Canada,1,0.42984181287398626,0.5701581871260137
Belgium,Morocco,1,0.4888662778253695,0.5111337221746305
Croatia,Canada,1,0.4640228072093929,0.5359771927906072
Croatia,Belgium,0,0.5851118032542453,0.4148881967457547
Canada,Morocco,0,0.5917809913317333,0.40821900866826666
Switzerland,Cameroon,1,0.4722383031928352,0.5277616968071648
Brazil,Serbia,1,0.4526739145704609,0.5473260854295391
Cameroon,Serbia,0,0.5946681263311461,0.4053318736688539
Brazil,Switzerland,1,0.45509432373793823,0.5449056762620618
Serbia,Switzerland,0,0.5424178975325763,0.4575821024674237
Cameroon,Brazil,0,0.688786942195352,0.31121305780464803
Uruguay,Korea Republic,1,0.4687100255789928,0.5312899744210072
Portugal,Ghana,1,0.42902536900319616,0.5709746309968038
Korea Republic,Ghana,1,0.4976648947215518,0.5023351052784482
Portugal,Uruguay,0,0.517192292772788,0.482807707227212
Ghana,Uruguay,0,0.6097820091483719,0.3902179908516281
Korea Republic,Portugal,0,0.6148644245485169,0.38513557545148314
